"Row.names","logFC","logCPM","PValue","FDR"," DMSO"," Indole"," TCDD"
"Ago3",0.218798730451274,4.3220581906314,0.328297189568626,0.670294519722854,327.544333386417,381.131747209387,349.546157327489
"Cep78",0.197094521244731,2.94980922312406,0.328360466327219,0.670294519722854,111.373672775401,135.219478420539,158.783218169404
"Kansl1l",0.228660202692588,2.72181840518467,0.328230898576211,0.670294519722854,107.70246509364,129.05514668021,109.921944450087
"Lrig2",0.24181545690557,4.67601220443367,0.328273462270623,0.670294519722854,410.271412292557,491.69482995009,470.889277527249
"Spred2",-0.148712055875723,6.64725695532943,0.328038012670028,0.670294519722854,1764.1004921377,1657.69930449397,1866.37464084076
"Tor1a",-0.15246663916699,5.26148325414128,0.328033463693561,0.670294519722854,682.297344715414,649.234913570396,690.221651400094
"Zfp322a",0.162426017778218,4.71677669256729,0.328419576096093,0.670294519722854,422.654651229343,488.927825600688,488.412201426348
"Crip1",0.206759444521611,7.51453126151896,0.329094366733507,0.670440000007799,2868.63576776737,3544.90192913407,3309.28593934752
"Erich1",-0.191296996685438,3.50074232842386,0.328719123300667,0.670440000007799,202.180347689842,185.874483879542,203.765959899081
"Hsdl2",0.153669752999984,5.01912520225776,0.328928503460143,0.670440000007799,520.809679024105,611.185003396744,586.517537782691
"Map2k3",0.158313451847257,7.45197622359226,0.329071407737699,0.670440000007799,2853.3680473246,3295.95742311754,3247.55451506512
"Ngef",-0.161347034050226,5.95451219800749,0.328926196541499,0.670440000007799,1091.79337598463,1031.926767578,1138.25660217056
"Polr1a",0.14204018269881,6.14814573591291,0.32883183079494,0.670440000007799,1076.91558738422,1249.09456735413,1433.27175449353
"Ric8b",0.178440392833183,4.17141353471451,0.329082496198346,0.670440000007799,285.77328773854,341.342452690914,322.648240765559
"St7l",0.152422755429941,4.6609823056415,0.328690794298018,0.670440000007799,393.188789101182,461.213949699955,487.044153532225
"Troap",0.318386356336144,1.89296927219575,0.3289606404271,0.670440000007799,48.8861603202771,65.050943128153,74.011068032552
"Uqcr10",0.17978531069578,7.15970725387246,0.329022603129068,0.670440000007799,2284.19582328074,2711.22388256127,2704.12545556803
"2410004N09Rik",-0.206764860777421,3.34961677085617,0.329418938725159,0.670774721050348,174.230512823492,161.187877061852,198.383952330649
"Cdkn2aip",-0.148384715481784,5.15873248430147,0.329528954443211,0.670774721050348,631.840023039902,592.641623792695,663.020139543328
"Dpcd",-0.18383104732073,3.97574795238511,0.329597812276517,0.670774721050348,278.271236317748,258.633444233424,292.708906769208
"Mcm10",0.202619167502382,3.24158714623374,0.329461527086251,0.670774721050348,140.752500444298,172.081437551084,183.648431444302
"Pop1",0.166374991083151,4.3929097847741,0.329620956180921,0.670774721050348,320.566223090689,380.245363604115,415.508811538763
