sample_id,Indole2,Indole3,Indole1,DMSO1,DMSO2,DMSO3,TCDD1,TCDD2,TCDD3
S1pr4,3,5,1,2,0,1,4,1,1
S1pr5,0,2,2,3,1,1,1,0,1
SCYA19,0,0,0,0,0,0,0,0,0
SEMA6C,0,0,0,0,0,0,0,0,0
SLY,0,0,0,0,0,0,0,0,0
SNORA77,0,0,0,0,0,0,0,0,0
SNORD113,0,0,0,0,0,0,0,0,0
SRSF1,0,0,0,0,0,0,0,0,0
ST6GAL2,0,0,0,0,0,0,0,0,0
Saa1,3798,4199,4987,1762,4804,3934,2721,3929,4975
Saa2,175,185,217,99,409,168,263,133,198
Saa3,32,21,33,70,49,54,22,55,35
Saa4,1,1,0,1,0,0,1,1,2
Saal1,272,325,379,365,337,302,257,388,322
Sac3d1,166,230,242,171,191,188,166,241,199
Sacm1l,2525,2775,3165,2714,1897,2713,1794,3101,3305
Sacs,5,4,9,11,1,4,3,7,5
Sae1,1702,2125,2260,1857,1984,1711,1644,2272,2261
Safb,1759,2001,2129,1647,2721,1775,2696,2361,2078
Safb2,1798,1790,2099,1915,2660,1895,2445,2601,2019
Sag,2,1,2,5,7,1,2,0,1
Sall1,0,0,0,0,0,0,0,0,0
Sall2,15,9,6,11,7,9,10,9,13
Sall3,0,0,0,2,0,0,0,0,1
Sall4,0,0,2,3,0,1,2,2,1
Samd1,313,379,384,481,862,414,634,410,386
Samd10,415,459,428,567,499,437,437,496,393
Samd11,0,0,1,2,0,4,3,3,0
Samd12,61,81,74,75,38,76,47,87,73
Samd13,4,4,8,17,7,17,4,6,6
Samd14,22,19,28,34,38,20,27,35,20
Samd15,0,0,1,9,1,4,1,3,0
Samd3,0,0,0,0,0,0,0,0,0
Samd4,44,35,46,146,49,88,59,84,59
Samd5,235,294,250,205,126,228,221,365,310
Samd7,0,0,0,0,0,0,0,0,0
Samd8,802,735,853,741,629,676,577,749,888
Samd9l,4290,4448,5139,3145,3805,3804,3222,3927,4661
Samhd1,672,749,813,659,724,706,733,721,749
Samm50,2759,3413,3725,3017,2593,3188,2263,4036,3605
Samsn1,0,0,0,0,0,0,0,0,0
Samt1,0,0,0,0,0,0,0,0,0
Samt2,0,0,0,0,0,0,0,0,0
Samt3,0,0,0,0,0,0,0,0,0
Samt4,0,0,0,0,0,0,0,0,0
Sap130,901,940,1000,964,1296,907,1480,1020,930
Sap18,246,299,320,257,238,270,201,354,347
Sap25,3,2,3,2,3,2,2,2,4
Sap30,176,201,230,209,278,209,204,194,195
Sap30bp,598,672,747,724,858,637,863,810,737
Sap30bpos,2,2,3,2,0,2,0,2,2
Sap30l,238,266,297,271,388,300,256,356,319
Sapcd1,3,0,2,3,0,1,0,1,7
Sapcd2,72,59,69,32,52,35,49,68,59
Sar1a,1980,2462,2688,2233,1669,2233,1502,2721,2565
Sar1b,1720,2094,2201,1667,1462,1730,1121,1998,2146
Sardh,34,39,60,21,37,35,36,47,27
Sardhos,0,0,0,0,0,0,0,0,0
Sarm1,2,6,4,15,0,1,1,1,1
Sarnp,144,186,183,147,160,123,120,197,170
Sars,3598,4259,4557,5566,5881,5190,5302,5727,4615
Sars2,185,241,250,218,286,220,270,281,218
Sart1,1159,1301,1408,1528,1885,1378,1512,1633,1301
Sart3,816,967,1064,945,1009,857,1021,1173,1015
Sash1,1041,1166,1241,1374,789,1175,946,1029,1042
Sash3,2,1,1,3,1,2,1,3,1
Sass6,92,98,88,75,94,46,96,86,99
Sat1,3365,3641,3900,5575,3175,4454,2631,4258,4194
Sat2,15,12,24,21,23,25,24,25,23
Satb1,0,0,0,0,0,0,0,0,0
Satb2,3358,3517,4052,2313,3152,2470,4926,4211,3901
Satl1,0,0,2,0,0,0,0,0,0
Sav1,876,1072,1144,1180,1071,1042,1096,1096,1079
Saysd1,200,207,260,230,186,239,153,219,212
Sbds,2269,2519,2692,2686,3698,2503,3112,2739,2747
Sbf1,1691,1926,2106,2493,1739,2165,1975,2388,2129
